GO_terms	Class	Description
GO:0002204	BP	somatic recombination of immunoglobulin genes involved in immune response
GO:0002205	BP	somatic hypermutation of immunoglobulin genes involved in immune response
GO:0002206	BP	gene conversion of immunoglobulin genes
GO:0002207	BP	gene conversion of immunoglobulin genes involved in immune response
GO:0002211	BP	behavioral defense response to insect
GO:0002212	BP	behavioral defense response to nematode
GO:0002213	BP	defense response to insect
GO:0002214	BP	defense response to insect
GO:0002215	BP	defense response to nematode
GO:0002216	BP	defense response to nematode
GO:0002222	BP	stimulatory killer cell immunoglobulin-like receptor signaling pathway
GO:0002230	BP	positive regulation of defense response to virus by host
GO:0002232	BP	leukocyte chemotaxis involved in inflammatory response
GO:0002233	BP	leukocyte chemotaxis involved in immune response
GO:0002237	BP	response to molecule of bacterial origin
GO:0002238	BP	response to molecule of fungal origin
GO:0002249	BP	lymphocyte anergy
GO:0002259	BP	endothelial cell activation within high endothelial venule involved in immune response
GO:0002260	BP	lymphocyte homeostasis
GO:0002261	BP	mucosal lymphocyte homeostasis
GO:0002264	BP	endothelial cell activation involved in immune response
GO:0002269	BP	leukocyte activation involved in inflammatory response
GO:0002274	BP	myeloid leukocyte activation
GO:0002285	BP	lymphocyte activation involved in immune response
GO:0002286	BP	T cell activation involved in immune response
GO:0002287	BP	alpha-beta T cell activation involved in immune response
GO:0002288	BP	NK T cell activation involved in immune response
GO:0002289	BP	NK T cell proliferation involved in immune response
GO:0002290	BP	gamma-delta T cell activation involved in immune response
GO:0002291	BP	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292	BP	T cell differentiation involved in immune response
GO:0002293	BP	alpha-beta T cell differentiation involved in immune response
GO:0002294	BP	CD4-positive, alpha-beta T cell differentiation involved in immune response 
GO:0002298	BP	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response 
GO:0002299	BP	alpha-beta intraepithelial T cell differentiation
GO:0002300	BP	CD8-positive, alpha-beta intraepithelial T cell differentiation 
GO:0002301	BP	CD4-positive, alpha-beta intraepithelial T cell differentiation 
GO:0002302	BP	CD8-positive, alpha-beta T cell differentiation involved in immune response 
GO:0002303	BP	gamma-delta T cell differentiation involved in immune response
GO:0002304	BP	gamma-delta intraepithelial T cell differentiation
GO:0002305	BP	CD8-positive, gamma-delta intraepithelial T cell differentiation 
GO:0002306	BP	CD4-positive gamma-delta intraepithelial T cell differentiation
GO:0002307	BP	CD8-positive, alpha-beta regulatory T cell differentiation 
GO:0002308	BP	CD8-positive, alpha-beta cytotoxic T cell differentiation 
GO:0002309	BP	T cell proliferation involved in immune response
GO:0002310	BP	alpha-beta T cell proliferation involved in immune response
GO:0002311	BP	gamma-delta T cell proliferation involved in immune response
GO:0002312	BP	B cell activation involved in immune response
GO:0002313	BP	mature B cell differentiation involved in immune response
GO:0002314	BP	germinal center B cell differentiation
GO:0002315	BP	marginal zone B cell differentiation
GO:0002316	BP	follicular B cell differentiation
GO:0002319	BP	memory B cell differentiation
GO:0002322	BP	B cell proliferation involved in immune response
GO:0002326	BP	B cell lineage commitment
GO:0002327	BP	immature B cell differentiation
GO:0002328	BP	pro-B cell differentiation
GO:0002329	BP	pre-B cell differentiation
GO:0002330	BP	pre-B cell receptor expression
GO:0002331	BP	pre-B cell allelic exclusion
GO:0002332	BP	transitional stage B cell differentiation
GO:0002333	BP	transitional one stage B cell differentiation
GO:0002334	BP	transitional two stage B cell differentiation
GO:0002335	BP	mature B cell differentiation
GO:0002336	BP	B-1 B cell lineage commitment
GO:0002337	BP	B-1a B cell differentiation
GO:0002338	BP	B-1b B cell differentiation
GO:0002339	BP	B cell selection
GO:0002340	BP	central B cell selection
GO:0002341	BP	central B cell anergy
