GO_terms	Class	Description
GO:0060012	BP	synaptic transmission, glycinergic 
GO:0060024	BP	rhythmic synaptic transmission
GO:0060025	BP	regulation of synaptic activity
GO:0060038	BP	cardiac muscle cell proliferation
GO:0060040	BP	retinal bipolar neuron differentiation
GO:0060041	BP	retina development in camera-type eye
GO:0060042	BP	retina morphogenesis in camera-type eye
GO:0060043	BP	regulation of cardiac muscle cell proliferation
GO:0060044	BP	negative regulation of cardiac muscle cell proliferation
GO:0060045	BP	positive regulation of cardiac muscle cell proliferation
GO:0060047	BP	heart contraction
GO:0060048	BP	cardiac muscle contraction
GO:0060054	BP	positive regulation of epithelial cell proliferation involved in wound healing
GO:0060056	BP	mammary gland involution
GO:0060057	BP	apoptotic process involved in mammary gland involution
GO:0060058	BP	positive regulation of apoptotic process involved in mammary gland involution
GO:0060059	BP	embryonic retina morphogenesis in camera-type eye
GO:0060060	BP	post-embryonic retina morphogenesis in camera-type eye
GO:0060074	BP	synapse maturation
GO:0060076	CC	excitatory synapse
GO:0060077	CC	inhibitory synapse
GO:0060083	BP	smooth muscle contraction involved in micturition
GO:0060084	BP	synaptic transmission involved in micturition
GO:0060085	BP	smooth muscle relaxation of the bladder outlet
GO:0060087	BP	relaxation of vascular associated smooth muscle
GO:0060092	BP	regulation of synaptic transmission, glycinergic 
GO:0060093	BP	negative regulation of synaptic transmission, glycinergic 
GO:0060094	BP	positive regulation of synaptic transmission, glycinergic 
GO:0060095	BP	zinc potentiation of synaptic transmission, glycinergic 
GO:0060103	CC	obsolete collagen and cuticulin-based cuticle extracellular matrix part
GO:0060127	BP	prolactin secreting cell differentiation
GO:0060129	BP	thyroid-stimulating hormone-secreting cell differentiation
GO:0060130	BP	thyroid-stimulating hormone-secreting cell development
GO:0060132	BP	prolactin secreting cell development
GO:0060139	BP	induction by virus of host apoptotic process
GO:0060140	BP	modulation by virus of syncytium formation via plasma membrane fusion
GO:0060141	BP	positive regulation of syncytium formation by virus
GO:0060144	BP	host cellular process involved in virus induced gene silencing
GO:0060145	BP	viral gene silencing in virus induced gene silencing
GO:0060146	BP	host gene silencing in virus induced gene silencing
GO:0060153	BP	modulation by virus of host cell cycle
GO:0060154	BP	obsolete cellular process regulating host cell cycle in response to virus
GO:0060155	BP	platelet dense granule organization
GO:0060163	BP	subpallium neuron fate commitment
GO:0060164	BP	regulation of timing of neuron differentiation
GO:0060165	BP	regulation of timing of subpallium neuron differentiation
GO:0060166	BP	olfactory pit development
GO:0060175	MF	brain-derived neurotrophic factor receptor activity
GO:0060179	BP	male mating behavior
GO:0060180	BP	female mating behavior
GO:0060221	BP	retinal rod cell differentiation
GO:0060222	BP	regulation of retinal cone cell fate commitment
GO:0060223	BP	retinal rod cell fate commitment
GO:0060224	BP	regulation of retinal rod cell fate commitment
GO:0060225	BP	positive regulation of retinal rod cell fate commitment
GO:0060226	BP	negative regulation of retinal cone cell fate commitment
GO:0060231	BP	mesenchymal to epithelial transition
GO:0060237	BP	regulation of fungal-type cell wall organization
GO:0060238	BP	regulation of signal transduction involved in conjugation with cellular fusion
GO:0060239	BP	positive regulation of signal transduction involved in conjugation with cellular fusion
GO:0060240	BP	negative regulation of signal transduction involved in conjugation with cellular fusion
GO:0060277	BP	obsolete negative regulation of transcription involved in G1 phase of mitotic cell cycle
GO:0060281	BP	regulation of oocyte development
GO:0060282	BP	positive regulation of oocyte development
GO:0060283	BP	negative regulation of oocyte development
GO:0060286	BP	obsolete flagellar cell motility
GO:0060287	BP	epithelial cilium movement involved in determination of left/right asymmetry
GO:0060291	BP	long-term synaptic potentiation
GO:0060292	BP	long-term synaptic depression
GO:0060303	BP	obsolete regulation of nucleosome density
GO:0060307	BP	regulation of ventricular cardiac muscle cell membrane repolarization
GO:0060312	BP	regulation of blood vessel remodeling
GO:0060313	BP	negative regulation of blood vessel remodeling
GO:0060317	BP	cardiac epithelial to mesenchymal transition
GO:0060318	BP	definitive erythrocyte differentiation
GO:0060319	BP	primitive erythrocyte differentiation
GO:0060346	BP	bone trabecula formation
GO:0060347	BP	heart trabecula formation
GO:0060348	BP	bone development
GO:0060349	BP	bone morphogenesis
GO:0060350	BP	endochondral bone morphogenesis
GO:0060351	BP	cartilage development involved in endochondral bone morphogenesis
GO:0060370	BP	susceptibility to T cell mediated cytotoxicity
GO:0060371	BP	regulation of atrial cardiac muscle cell membrane depolarization
GO:0060372	BP	regulation of atrial cardiac muscle cell membrane repolarization
GO:0060373	BP	regulation of ventricular cardiac muscle cell membrane depolarization
GO:0060379	BP	cardiac muscle cell myoblast differentiation
GO:0060386	BP	synapse assembly involved in innervation
GO:0060389	BP	obsolete pathway-restricted SMAD protein phosphorylation
GO:0060393	BP	obsolete regulation of pathway-restricted SMAD protein phosphorylation
GO:0060411	BP	cardiac septum morphogenesis
GO:0060414	BP	aorta smooth muscle tissue morphogenesis
GO:0060415	BP	muscle tissue morphogenesis
GO:0060419	BP	heart growth
GO:0060420	BP	regulation of heart growth
GO:0060421	BP	positive regulation of heart growth
GO:0060424	BP	lung field specification
GO:0060425	BP	lung morphogenesis
GO:0060426	BP	lung vasculature development
GO:0060427	BP	lung connective tissue development
GO:0060428	BP	lung epithelium development
GO:0060429	BP	epithelium development
GO:0060430	BP	lung saccule development
GO:0060431	BP	primary lung bud formation
GO:0060432	BP	lung pattern specification process
GO:0060437	BP	lung growth
GO:0060441	BP	epithelial tube branching involved in lung morphogenesis
GO:0060443	BP	mammary gland morphogenesis
GO:0060444	BP	branching involved in mammary gland duct morphogenesis
GO:0060445	BP	branching involved in salivary gland morphogenesis
GO:0060447	BP	bud outgrowth involved in lung branching
GO:0060448	BP	dichotomous subdivision of terminal units involved in lung branching
GO:0060449	BP	bud elongation involved in lung branching
GO:0060452	BP	positive regulation of cardiac muscle contraction
GO:0060453	BP	regulation of gastric acid secretion
GO:0060454	BP	positive regulation of gastric acid secretion
GO:0060455	BP	negative regulation of gastric acid secretion
GO:0060458	BP	right lung development
GO:0060459	BP	left lung development
GO:0060460	BP	left lung morphogenesis
GO:0060461	BP	right lung morphogenesis
GO:0060462	BP	lung lobe development
GO:0060463	BP	lung lobe morphogenesis
GO:0060464	BP	lung lobe formation
GO:0060469	BP	obsolete positive regulation of transcription involved in egg activation
GO:0060474	BP	positive regulation of flagellated sperm motility involved in capacitation
GO:0060475	BP	obsolete positive regulation of actin filament polymerization involved in acrosome reaction
GO:0060477	BP	obsolete peptidyl-serine phosphorylation involved in acrosome reaction
GO:0060479	BP	lung cell differentiation
GO:0060480	BP	lung goblet cell differentiation
GO:0060481	BP	lobar bronchus epithelium development
GO:0060484	BP	lung-associated mesenchyme development
GO:0060487	BP	lung epithelial cell differentiation
GO:0060488	BP	orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:0060489	BP	planar dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:0060490	BP	lateral sprouting involved in lung morphogenesis
GO:0060492	BP	lung induction
GO:0060493	BP	mesenchymal-endodermal cell signaling involved in lung induction
GO:0060495	BP	cell-cell signaling involved in lung development
GO:0060496	BP	mesenchymal-epithelial cell signaling involved in lung development
GO:0060498	BP	retinoic acid receptor signaling pathway involved in lung bud formation
GO:0060499	BP	fibroblast growth factor receptor signaling pathway involved in lung induction
GO:0060500	BP	obsolete regulation of transcription from RNA polymerase II promoter involved in lung bud formation
GO:0060501	BP	positive regulation of epithelial cell proliferation involved in lung morphogenesis
GO:0060502	BP	epithelial cell proliferation involved in lung morphogenesis
GO:0060503	BP	bud dilation involved in lung branching
GO:0060504	BP	positive regulation of epithelial cell proliferation involved in lung bud dilation
GO:0060505	BP	epithelial cell proliferation involved in lung bud dilation
GO:0060506	BP	smoothened signaling pathway involved in lung development
GO:0060507	BP	epidermal growth factor receptor signaling pathway involved in lung development
GO:0060508	BP	lung basal cell differentiation
GO:0060511	BP	creation of an inductive signal by a mesenchymal cell involved in lung induction
GO:0060517	BP	epithelial cell proliferation involved in prostatic bud elongation
GO:0060521	BP	mesenchymal-epithelial cell signaling involved in prostate induction
GO:0060522	BP	inductive mesenchymal to epithelial cell signaling
GO:0060523	BP	prostate epithelial cord elongation
GO:0060524	BP	dichotomous subdivision of prostate epithelial cord terminal unit
GO:0060527	BP	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
GO:0060528	BP	secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development
GO:0060529	BP	squamous basal epithelial stem cell differentiation involved in prostate gland acinus development
GO:0060530	BP	smooth muscle cell differentiation involved in prostate glandular acinus development
GO:0060532	BP	bronchus cartilage development
GO:0060533	BP	bronchus cartilage morphogenesis
GO:0060534	BP	trachea cartilage development
GO:0060535	BP	trachea cartilage morphogenesis
GO:0060536	BP	cartilage morphogenesis
GO:0060537	BP	muscle tissue development
GO:0060538	BP	skeletal muscle organ development
GO:0060562	BP	epithelial tube morphogenesis
GO:0060565	BP	obsolete inhibition of APC-Cdc20 complex activity
GO:0060571	BP	morphogenesis of an epithelial fold
GO:0060572	BP	morphogenesis of an epithelial bud
GO:0060574	BP	intestinal epithelial cell maturation
GO:0060575	BP	intestinal epithelial cell differentiation
